 1.;10.05.10 11:00;Anzhi Makhachkala;-1.08;-1.41;Arsenal Tula;-0.69;1.4;-3.2;2;0;2;18 %;23 %;59 %;Myscore.ru/match/2Rm0YJRN/
;Завершен;;;;;;;;;0;2;6.52;4.89;1.32;Winline.ru
 2.;10.05.10 15:00;Artsakh FC;0;-0.76;FC Pyunik Yerevan;0.86;1.54;-3.2;2;0;2;18 %;23 %;59 %;Myscore.ru/match/xAs73Td4/
;Завершен;;;;;;;;;0;3;-;-;-;
 3.;10.05.10 17:30;HNK Gorica;-0.06;0.37;Istra 1961 Pula;-0.75;-1.97;3.0;1;2;0;58 %;24 %;19 %;Myscore.ru/match/juE88I9U/
;Завершен;;;;;;;;;4;1;1.47;4.18;5.70;Winline.ru
 4.;10.05.10 17:45;NK Domzale;1.07;1.33;ND Gorica;-0.73;0.07;3.1;1;3;1;58 %;23 %;19 %;Myscore.ru/match/lCmbYde1/
;Завершен;;;;;;;;;2;1;1.40;4.63;6.12;Winline.ru
 5.;10.05.10 18:30;FC Banants;0.85;1.35;Ararat Yerevan;-1.14;-1.56;4.9;1;2;0;73 %;17 %;10 %;Myscore.ru/match/KYWB2mCA/
;Завершен;;;;;;;;;1;1;1.22;5.29;9.34;Winline.ru
 6.;10.05.10 19:00;FC Kuressaare;0;-0.15;FC Maardu;-3.6;-1.2;4.7;1;3;1;71 %;18 %;11 %;Myscore.ru/match/WSfUhujI/
;Завершен;;;;;;;;;1;0;2.33;3.30;2.87;Winline.ru
 7.;10.05.10 20:00;Hammarby IF;1;0.26;IK Sirius Uppsala;0.33;-1.54;2.5;1;2;1;53 %;25 %;21 %;Myscore.ru/match/Uo7ehJfl/
;Завершен;;;;;;;;;2;0;1.32;5.36;8.29;Winline.ru
 8.;10.05.10 20:00;FC Bayern Munchen II;1.13;1.1;Greuther Furth II;-0.19;-0.47;2.9;1;2;1;57 %;24 %;19 %;Myscore.ru/match/KCkY3S8A/
;Завершен;;;;;;;;;3;1;1.38;4.79;6.22;Winline.ru
 9.;10.05.10 20:10;FC Liefering;0.75;0.45;FC Wiener Neustadt;-0.58;-1.52;3.3;1;3;1;60 %;22 %;18 %;Myscore.ru/match/OOG2CmVC/
;Завершен;;;;;;;;;2;5;1.56;4.17;5.04;Winline.ru
 10.;10.05.10 20:10;SK Vorwarts Steyr;-1.08;-1.68;Floridsdorfer AC;-0.33;-0.15;-2.3;2;1;2;22 %;26 %;52 %;Myscore.ru/match/YZqLUUps/
;Завершен;;;;;;;;;3;2;2.01;3.54;3.32;Winline.ru
 11.;10.05.10 21:45;Cork City;-0.29;-0.43;UC Dublin;-2.14;-2.46;3.9;1;2;0;65 %;20 %;15 %;Myscore.ru/match/CKJZI5Dj/
;Завершен;;;;;;;;;2;0;1.41;4.10;6.95;Winline.ru
 12.;10.05.10 21:45;AS Nancy Lorraine;-0.39;-0.02;FC Metz;0.83;0.98;-2.2;2;0;1;23 %;26 %;51 %;Myscore.ru/match/S68aYBFi/
;Завершен;;;;;;;;;1;0;2.69;3.22;2.72;Winline.ru
 13.;10.05.10 21:45;Clermont Foot Auvergne;0.28;-0.4;ES Troyes;0.61;1.26;-2.0;2;0;1;24 %;27 %;49 %;Myscore.ru/match/0KUoFlFT/
;Завершен;;;;;;;;;2;4;2.39;3.19;3.15;Winline.ru
 14.;10.05.10 21:45;Shelbourne FC;1.6;0.98;Athlone Town;-0.6;-1.93;5.1;1;3;0;75 %;16 %;9 %;Myscore.ru/match/lGTLCSE5/
;Завершен;;;;;;;;;2;1;1.24;5.44;9.78;Winline.ru
 15.;10.05.10 22:00;Granada 74 CF;0.76;0.36;CD Tenerife;-0.65;-0.44;2.2;1;2;1;51 %;26 %;23 %;Myscore.ru/match/lGkbOH8d/
;Завершен;;;;;;;;;2;1;1.59;3.57;5.81;Winline.ru
 16.;10.05.10 23:00;Al Masry;0.47;0.77;Haras El Hodood;-0.67;-0.46;2.4;1;2;1;53 %;26 %;22 %;Myscore.ru/match/UcF5rjnB/
;Завершен;;;;;;;;;0;1;1.92;3.23;4.01;Winline.ru
 17.;10.05.10 23:30;Ayacucho FC;1;0.42;UT Cajamarca;-0.83;0.03;2.2;1;2;1;51 %;26 %;23 %;Myscore.ru/match/rulEIhSP/
;Завершен;;;;;;;;;0;2;1.81;3.57;4.04;Winline.ru
