g_1_SzQDZAeD;Argentino de Merlo;Real Pilar
g_1_rXe9xDBf;Liniers;Central Ballester
g_1_xAs73Td4;Artsakh;Pyunik Yerevan
g_1_KYWB2mCA;Banants Yerevan;Ararat Yerevan
g_1_YB9s9zgl;Perth Glory;Adelaide United
g_1_IJ3orpul;Bentleigh Greens;Port Melbourne Sharks
g_1_dA2ks4ff;Dandenong City;Kingston City
g_1_Cvb8lP9o;Bayside;Grange Thistle
g_1_dSm7E7Rh;Adelaide Comets;Adelaide City
g_1_hnBaqE7N;Redlands;Eastern Suburbs
g_1_4KgkziNJ;FC Juniors;Wattens
g_1_GfcgZAxQ;FK Austria Vienna (Am);A. Lustenau
g_1_CQrPTl0m;Horn;BW Linz
g_1_fkCbDTF6;Kapfenberg;Wacker Innsbruck (Am)
g_1_OOG2CmVC;Liefering;Neustadt
g_1_YZqLUUps;Vorwarts Steyr;Floridsdorfer AC
g_1_h4UZhAPR;Bruck Leitha;Traiskirchen
g_1_xx66mlmk;Parndorf;Admira (Am)
g_1_fDG1lUXr;SK Rapid Vienna (Am);Mattersburg (Am)
g_1_OpEg9V98;St. Polten (Am);Wiener Sportklub
g_1_2yDc8kPE;Wiener Linien;Leobendorf
g_1_Oh8IpnX7;Ebreichsdorf;Neusiedl
g_1_juAAn82e;Marchfeld;Stadlau
g_1_p29EoSH1;Mauerwerk;Schwechat
g_1_ruGH1Cx3;Allerheiligen;WSC Wels
g_1_GYNVw9pd;Gleisdorf;Kalsdorf
g_1_4lHD2hNd;SC Weiz;Sturm Graz (Am)
g_1_EciE16wd;Vocklamarkt;Grazer
g_1_Q35M0Wi9;Volkermarkt;Deutschlandsberger
g_1_W08UbAML;Wels;Lendorf
g_1_8rsC3nmG;Altach (Am);Saalfelden
g_1_6Jpe7Umi;Grodig;Kufstein
g_1_0Iw458I3;Seekirchen;Schwaz
g_1_fHKRhI3q;BJMC;Mohammedan
g_1_8KOVixJk;Rahmatgonj MFS;Saif Sporting Club
g_1_tfIuVx63;Slavia Mozyr;FC Minsk
g_1_zeKmiw68;St. Liege;Gent
g_1_APbvIhYb;Gent W;St. Liege W
g_1_xxrRKj3b;Sao Bento;Botafogo SP
g_1_dvbSIUXA;Coritiba;Londrina
g_1_8QwRowwT;Botafogo PB;Nautico
g_1_Q1lMnJNM;Fortaleza;Santa Cruz
g_1_OIBDA113;Ferroviaria W;Ponte Preta W
g_1_pSC9Bsnc;Corinthians W;Iranduba de Amazonia W
g_1_ENOWcgNC;Etar;Lok. Plovdiv
g_1_K0PSbZ76;Slavia Sofia;Botev Vratsa
g_1_CvAa9qP6;Botev Galabovo;Tsarsko Selo
g_1_OEyCIm2K;CSKA 1948 Sofia;Lok. Gorna
g_1_fZ38SUl1;Tianjin Teda;Shanghai Shenhua
g_1_juE88I9U;Gorica;Istra 1961
g_1_dtLaAvuI;Hajduk Split;Slaven Belupo
g_1_6oaHMNBi;Dragovoljac;Varazdin
g_1_UJOKMudo;Sesvete;Hajduk Split 2
g_1_EBbLLsRc;Medjimurje Cakovec;NK Dinamo Zagreb 2
g_1_IHfuMzOa;Velke Mezirici;Otrokovice
g_1_WI33QkFo;Kromeriz;Vyskov
g_1_ziKQ8XZA;Odense;Esbjerg
g_1_t0FwOOEb;Zamalek;Wadi Degla
g_1_8rRdpCHb;Al Ittihad;Enppi
g_1_j7G1qWW4;El Gounah;Arab Contractors
g_1_UcF5rjnB;El Masry;Haras El Hodood
g_1_xOE9sA1H;El-Entag El-Harby;El Ismaily
g_1_fuNhoh2h;Misr Elmaqasah;Nogoom FC
g_1_b9mWzuvq;Santa Tecla;Metapan
g_1_lzbdss1F;Pasaquina;Alianza FC
g_1_zkXZXhjp;Tranmere;Forest Green
g_1_WSfUhujI;Kuressaare;Maardu
g_1_vZeBrBys;Chelsea;Eintracht Frankfurt
g_1_8OWxQnVq;Portugal U17;Iceland U17
g_1_jmMsP6pj;Russia U17;Hungary U17
g_1_nZ5pqSyM;Austria U17;Germany U17
g_1_hC6tp8MF;Italy U17;Spain U17
g_1_4pavgOnC;St Etienne;Montpellier
g_1_AVyZHjVA;AC Ajaccio;Lens
g_1_rqzsGUaN;Brest;Niort
g_1_0KUoFlFT;Clermont;Troyes
g_1_4hywHApH;GFC Ajaccio;Chateauroux
g_1_2TGDA8Np;Grenoble;Auxerre
g_1_GW4eZi0o;Lorient;Sochaux
g_1_S68aYBFi;Nancy;Metz
g_1_AVc4XVUc;Orleans;Beziers
g_1_lMd8Wkp4;Red Star;Paris FC
g_1_Ie1CV9aA;Valenciennes;Le Havre
g_1_6VzmiET1;Lokomotiv Tbilisi;Torpedo Kutaisi
g_1_b5Xvgzak;Rustavi;Saburtalo Tbilisi
g_1_Wdh0RRvd;SC Weiche-08;Lubeck
g_1_WhxanTGL;Drochtersen/Assel;Oldenburg
g_1_EwTvkKYt;Hertha Berlin II;Lokomotive Leipzig
g_1_lvl2Nufb;Koln II;Rodinghausen
g_1_KCkY3S8A;Bayern II;Furth II
g_1_ADbFrQWL;Greifswald;Neustrelitz
g_1_l4cJspnS;Staaken;Wismar
g_1_bwqkxO9k;TB Berlin;Altludersdorf
g_1_AioInk1q;Plauen;Eilenburg
g_1_vZZwZknk;Bremer;Leher
g_1_IPYsY91e;Brinkumer;Schwachhausen
g_1_CnYoXTG1;Oberneuland;Werder Bremen III
g_1_SAz4EWq9;Arminia Hannover;Wolfenbuttel
g_1_MBhxdOTs;Braunschweig II;Eintracht Northeim
g_1_GYiterql;Cloppenburg;Bersenbruck
g_1_MDqEi9xd;Wunstorf;Delmenhorst
g_1_h88VGxMS;Hertha Wiesbach;TuS Koblenz
g_1_IkthYwi3;Emmelshausen;Mechtersheim
g_1_n3XptaHh;Merten;Hurth
g_1_nXCL8D1J;St Josephs;Gibraltar Phoenix
g_1_lG5k6Ihc;CD Honduras;Real de Minas
g_1_QRNGhxk1;Dreams;Kitchee
g_1_CU030vDI;Hafnarfjordur;KA Akureyri
g_1_Mu8j3tTa;Stjarnan;Kopavogur
g_1_vH2e20r6;Breidablik;Vikingur Reykjavik
g_1_tGcB5QNm;Afturelding;Leiknir
g_1_xriK34h0;Fram;Fjolnir
g_1_K6dF4pwf;Grotta;Throttur
g_1_IRq2Lfw7;Throttur Vogar;Kari
g_1_KKREXK2J;Al Hussein;Al Diwaniya
g_1_Cf4HSAaf;Al Naft;Al Karkh
g_1_GjDpSbQt;Al-Hudod;Naft Missan
g_1_fJgMRUE0;Erbil;Al Quwa Al Jawiya
g_1_Y35DTjpl;Al Shorta;Al Kahraba
g_1_bHFVJobp;Bohemians;Dundalk
g_1_CKJZI5Dj;Cork City;UC Dublin
g_1_C0NxXXl0;Derry City;St. Patricks
g_1_zDPHD8aa;Drogheda;Limerick
g_1_lGTLCSE5;Shelbourne;Athlone
g_1_WvJQBnUB;Wexford;Cobh Ramblers
g_1_8ER6sqyb;H. Nazareth Illit;Ashkelon
g_1_n5QAt3j4;Hapoel Katamon;Hap. Ramat Gan
g_1_EiS2rPLi;Hapoel Kfar-Saba;Beitar Tel Aviv
g_1_4tLFuN5A;Nes Tziona;Hapoel Afula
g_1_bc3yllOI;Cagliari U19;Napoli U19
g_1_4z4XlU8C;Udinese U19;AC Milan U19
g_1_f96J5dvh;Al Ahli;Al Buqaa
g_1_GI7F6xPo;Al Hussein;Al Salt
g_1_EDTWsgno;Al Jazeera Amman;Al-Faisaly Amman
g_1_n1hXPuRp;Flamurtari;Drenica
g_1_l6WFlP3o;KF Ballkani;Gjilani
g_1_zNUNn3Yc;Trepca 89;Ferizaj
g_1_jHwn9tnt;Al Arabi;Al-Fahaheel
g_1_KdV25bo5;Al Jahra;Al Tadamon
g_1_nqXf7KGh;Al Kuwait;Al Salmiya
g_1_U7xj801n;Al Qadisiya;Al Shabab
g_1_QZVb6vWb;Kazma SC;Al Naser
g_1_4d1MQbCO;Kupiskis;Vilniaus Vytis
g_1_l81qLbBj;Macau U23;Tak Chun Ka I
g_1_SGod43BM;Kedah;PKNS FC
g_1_Kjrl6PtA;Pahang;Terengganu
g_1_ENWQR11S;Necaxa;Monterrey
g_1_h8rITNWF;Club America;Cruz Azul
g_1_fLhoy2l1;FAR Rabat;Wydad
g_1_z5yipqCd;Nijmegen;Waalwijk
g_1_M1XnoPdj;Cambuur;Almere City
g_1_hQXcaqcs;USA U17;Guadeloupe U17
g_1_Ojik0MxP;Madla IL;Brodd
