g_1_CQYpEuH7;Kastrioti;Flamurtari
g_1_YZZtFL11;Luftetari Gjirokastra;Kukesi
g_1_Q9WYGsXl;Partizani;KF Tirana
g_1_40VxG1ne;Skenderbeu;Teuta
g_1_nmTX4ciR;Bel Abbes;Mlila
g_1_2aRL7a78;Bordj Bou Arreridj;CR Belouizdad
g_1_EZUP6JME;Constantine;JS Kabylie
g_1_6X94ayFl;MO Bejaia;Paradou
g_1_8dUT5wxL;Saoura;MC Alger
g_1_EcDCcFq1;Tadjenant;Oran
g_1_StB00Har;USM Alger;Medea
g_1_UBESwsEH;Inter Club Escaldes;FC Santa Coloma
g_1_0xAOvNbB;Sant Julia;UE Engordany
g_1_6B22uPKu;Caala;Desportivo Huila
g_1_YNXmM1KH;Cubango;Primeiro de Agosto
g_1_GnNhLLZN;Onze Bravos;Kabuscorp
g_1_tUfFxN4b;Petro Atletico;Lobito
g_1_UkRdKukU;Sagrada;Interclube
g_1_8zBWcywJ;Atl. Tucuman;River Plate
g_1_8SG7MKFJ;Argentinos Jrs;Gimnasia L.P.
g_1_UydTCPa3;Platense;Central Cordoba
g_1_f7uiMiHD;San Miguel;San Telmo
g_1_2Pj8BeKh;Almirante Brown;Flandria
g_1_YRNsKoJ8;Argentino de Quilmes;Victoriano A.
g_1_SUWicOBe;Club Lujan;Ituzaingo
g_1_QP2MC3Br;Midland;Canuelas
g_1_MH1iapsq;Villa San Carlos;Dep. Merlo
g_1_hGtPtS2t;Claypole;CSR Espanol
g_1_lpR9zit7;Puerto Nuevo;Deportivo Muniz
g_1_SbzK0RtN;Ararat-Armenia;Alashkert
g_1_pxfYrHQS;Sydney FC;Melbourne Victory
g_1_Uw56X5CU;Blacktown City;Marconi Stallions
g_1_K2pGi9cn;Hakoah Sydney;Druitt Town Rangers
g_1_2RZKjTCh;Sydney Utd;Sydney Olympic
g_1_xMJntO90;Oakleigh Cannons;Pascoe Vale
g_1_lA262y8o;Sunshine Coast;Queensland Lions
g_1_2D6A1eNi;Olympic FC;Gold Coast Knights
g_1_EBhEev3N;Canberra FC;Woden Weston
g_1_8YiIfbIT;Canberra Olympic;Monaro Panthers
g_1_zLgAdKmH;Gungahlin;Belconnen United
g_1_8Ct01uxd;Adamstown Rosebud;Newcastle Jets U21
g_1_f50P7saS;Broadmeadow;Lambton J.
g_1_0nwh317q;Charlestown City Blues;Weston Bears
g_1_vwxd2LMk;Edgeworth E.;Valentine
g_1_nD2xpENM;AC Wolfsberger;St. Polten
g_1_Y9bYpf8G;Sturm Graz;Austria Vienna
g_1_UyhsqYxT;Salzburg;LASK Linz
g_1_2FF6B7pJ;Amstetten;A. Klagenfurt
g_1_v9x84SX9;Reichenau;SV Worgl
g_1_ruM8pf6o;Landhaus W;Vorderland W
g_1_MVKCqELi;Kleinmunchen W;Neulengbach W
g_1_6NxQLATp;Wacker Innsbruck W;St. Polten W
g_1_UeOKshj4;Sudburgenland W;Sturm Graz W
g_1_GCpJDyyT;Din. Minsk;FC Gomel
g_1_MkoFEHLM;Vitebsk;Shakhtyor Soligorsk
g_1_EmQg7ZDd;BATE;Torpedo Minsk
g_1_rP7PA9NL;FC Slonim;Volna Pinsk
g_1_hzFCDBw3;Lokomotiv Gomel;Orsha
g_1_dSBT9TxS;Smolevichi;Mikashevichi
g_1_l28LBk8F;Chimik Svetlogorsk;Sputnik
g_1_l6OMjlWk;Rukh Brest;Naftan
g_1_0tSQk8od;Smorgon;Krumkachy
g_1_AB9HCVh9;Baranovici;Belshina
