g_1_0QuOUfbQ;Velez Sarsfield;Boca Juniors
g_1_GjDnJ5YE;Deportivo Armenio;Excursionistas
g_1_KOJwLR32;Dock Sud;Berazategui
g_1_6LVedrR1;General Lamadrid;Central Cordoba
g_1_fsCjIPmL;Laferrere;Leandro N. Alem
g_1_OGGfHq3R;San Martin Burzaco;Sportivo Italiano
g_1_080eb4dk;Sportivo Barracas;El Porvenir
g_1_IgKf2pMN;Al Ahed (Leb);Malkia (Bah)
g_1_v3Lj3Q6H;Al Suwaiq (Oma);Al Qadisiya (Kuw)
g_1_AVqxXUFd;San Jose;Sport Boys
g_1_xIoUYjop;Blooming;Oriente Petrolero
g_1_ELkzNHI0;Athletico-PR;Bahia
g_1_t8iSOwll;Avai;CSA
g_1_z78qX1t8;Fortaleza;Sao Paulo
g_1_IXxkqkzH;Nautico;Ferroviario
g_1_8CzSyrDo;Bistritsa;Dunav Ruse
g_1_WIRmbte6;Cotonsport;Feutcheu
g_1_I3msPijR;U. Espanola;U. De Concepcion
g_1_OOCKY1Jh;U. De Chile;Coquimbo
g_1_bVYp9he9;America De Cali;Millonarios
g_1_CYxk8CAF;Junior;Atl. Nacional
g_1_vsUiZf0f;Saprissa;San Carlos
g_1_fuXbjPJq;Brondby;Nordsjaelland
g_1_YVRhhSLC;Emelec;Barcelona SC
g_1_tYxyzagk;Alianza FC;Pasaquina
g_1_KOyuZI8e;Municipal Limeno;Chalatenango
g_1_nwvLedri;Forest Green;Tranmere
g_1_ncbLeYGH;Southampton U23;Newcastle Utd U23
g_1_MckDZWig;Italy U17;Portugal U17
g_1_8fo9zDxm;Hungary U17;Spain U17
g_1_joNUUJp4;Skala Itrottarfelag;Klaksvik
g_1_CCRgWQM1;Vikingur;Streymur
g_1_QDfj6bHj;KTP;Ekenas
g_1_YDlqVP8q;KuFu-98;Kajaanin Haka
g_1_vVi01Vgg;Gibraltar United;Glacis United
g_1_fPfssnc3;Municipal;Malacateco
g_1_GthujEGj;Baltimore;Triomphe Liancourt
g_1_xjgyif1p;Violette;Tempete
g_1_UiCdoUo5;Motagua;Marathon
g_1_IkAg5x83;Real de Minas;Juticalpa
g_1_pA1Db90K;Hapoel Hadera;Maccabi Haifa
g_1_pzP6byCk;H. Akko;Hapoel Iksal Imad
g_1_l4wy4clS;H. Marmorek;Ramat Hasharon
g_1_2BJBceRe;Hapoel Petah Tikva;H. Ironi Rishon
g_1_6qQ2aHdq;M. Nazareth;Hapoel Bnei Lod
g_1_ABVOzjVE;Bologna;Parma
g_1_WbofllrH;Inter;Chievo
g_1_AX6um8wP;Fiorentina U19;Palermo U19
g_1_viHCchgh;Valmiera;Riga FC
g_1_GzVvqtSh;Dainava Alytus;Stumbras 2
g_1_v5G5KJg2;Cruz Azul;Club America
g_1_Wb3irNo9;Monterrey;Necaxa
g_1_Cr01Z0zB;IR Tanger;Olympique de Safi
g_1_rH3AN1GH;Jong Den Haag;Jong Feyenoord
g_1_M72EMLVN;Jong Sittard;Jong Willem II
g_1_Qw6Q7Dxg;Jong Heerenveen;Jong Roda
g_1_Cz2M8gNn;Jong Dordrecht;Jong Achilles 29
g_1_dzdIcH3n;Ferretti;Managua FC
g_1_KdevtIN8;Gombe;Ifeanyi Ubah
g_1_QXUVYsCl;Mexico U17;El Salvador U17
g_1_neVPkroo;Portmore;Real du Cap
g_1_0bJ7ERNo;Waterhouse;Capoise
g_1_6FxavdIg;Stromsgodset;Viking
g_1_rg9PAvMt;Senja;Odd 2
g_1_d8ejFll6;Aalesund 2;Sarpsborg 2
g_1_ULgbDSII;Lorenskog;Molde 2
g_1_rPc2CnYO;Nordstrand;Stabaek 2
g_1_GCSGV9Yn;Arvoll;Krakeroy
g_1_buWyo5kB;Valerenga 2;Grei
g_1_YXYPm75h;Mjondalen 2;Lokomotiv Oslo
g_1_p0ho12NI;Flekkeroy;Start 2
g_1_vq78ZswE;Brann 2;Bergen Nord
g_1_CpcIK34I;Verdal;Kongsvinger 2
g_1_r551Oo5g;Rosenborg 2;Kolstad
g_1_EV0cPRkm;Raufoss 2;Brumunddal
g_1_MXHNVcm0;Honefoss;Ull/Kisa 2
g_1_0KKKkK1A;Libertad Asuncion;Sp. Luqueno
g_1_zwDXnIoT;River Plate;Olimpia Asuncion
g_1_tjbg9lkC;Alianza Lima;FBC Melgar
g_1_tAMRp87m;Sporting Cristal;U. San Martin
g_1_vN58Uz9h;Arka Gdynia;Wisla
g_1_0IoZ58Qu;Viitorul Constanta;Astra
g_1_rkFcr06r;FK Chayka;Chernomorets Novorossijsk
g_1_QFyHi65d;St. Mirren;Hamilton
g_1_xlzk9p1k;Boeun Sangmu W;Changnyeong W
g_1_rowc7OV1;Hwacheon W;Gyeongju W
g_1_WAZh84Ge;Incheon Hyundai Steel W;Gumi Sportstoto W
g_1_bcyoAQoq;Seoul W;Suwon FMC W
g_1_jLTtm1oc;Malaga;R. Oviedo
g_1_0A1K0sm8;Norrkoping;Goteborg
g_1_rHF6dVlb;Newroz;Assyriska FF
g_1_6q4tQJh6;Besiktas;Alanyaspor
g_1_2RD3XAy6;Kastamonuspor;Sariyer
g_1_AiHBVl6I;Karagumruk;Sanliurfaspor
g_1_GUH7WUjC;Manisa;Tuzlaspor
g_1_K2ObYjMa;Samsunspor;Sakaryaspor
g_1_Wz54Dl0f;DC United;Sporting Kansas City
g_1_l2QT5ICr;Bethlehem;Atlanta United 2
g_1_WQFY4xSl;El Paso;New Mexico
g_1_ngv2Ab4R;LA Galaxy 2;Fresno
g_1_2NJ9UOrh;Tormenta;Toronto FC II
g_1_ltmv2ywn;Golden State Force;Breakers FC
g_1_r3nr1ehh;TSS Rovers;Lane United
g_1_QJFW60Om;Chicago W;North Carolina Courage W
g_1_vPUDVbKg;France U19 W;Gabon U19 W
g_1_jipxB3UF;Almagro;Gimnasia Mendoza
g_1_YiBXUqLD;All Boys;Barracas Central
g_1_hEqL8g4B;Colegiales;Deportivo Espanol
g_1_OvuH9Zl5;Justo Jose de Urquiza;Dep. Riestra
g_1_4vY4Cy5n;Sacachispas;UAI Urquiza
g_1_QZFffPJj;Ararat Yerevan;Lori
g_1_vw4xJ8di;Gandzasar;Artsakh
g_1_lf8gtLLP;Home Utd (Sin);Kaya (Phl)
g_1_fyoMyuUt;Lao Toyota (Lao);PSM Makassar (Ina)
g_1_bk7VvjOa;Al Jaish (Syr);Nejmeh SC (Leb)
g_1_A9h5iT75;Al Kuwait (Kuw);Al Jazeera Amman (Jor)
g_1_hC6ZwAw6;Al Wehdat (Jor);Al Quds (Pal)
g_1_WIg1h9ha;Al-Najma (Bah);Al-Ittihad (Syr)
g_1_x2iDjnU1;Stadl Paura;Allerheiligen
g_1_Ai7YcUyS;Sturm Graz (Am);Vocklamarkt
g_1_v7VeFV62;WSC Wels;AC Wolfsberger (Am)
g_1_Uyl5h8ak;Bad Gleichenberg;Gleisdorf
g_1_Obm9iSEe;Deutschlandsberger;SC Weiz
g_1_jok1glpq;Grazer;Union Gurten
g_1_IcUaEkM8;Kalsdorf;Wels
g_1_hljI0Qh2;Lendorf;Volkermarkt
g_1_KrlIxg95;Cercle Brugge KSV;Mouscron
g_1_thkEwZga;St. Gilloise;Kortrijk
g_1_27wNyDOB;Waasland-Beveren;Waregem
g_1_4OqJMCYo;Guarani;Vitoria
g_1_z9Xgr9kN;Botafogo PB;Santa Cruz
g_1_n3ZVz2Si;Septemvri Sofia;Vereya
g_1_fcSg7WPL;Deportes Tolima;Dep. Cali
g_1_AqoZOwfB;Istra 1961;Zapresic
g_1_h8zvOc9H;Rudes;Hajduk Split
g_1_d2Eg3PuD;Ostrava;Liberec
g_1_CAvD0rsT;Bohemians 1905;Pribram
g_1_drGqeM4j;Karvina;Dukla Prague
g_1_IiHud2kp;Slovacko;Opava
g_1_tEjAEGEQ;Silkeborg;Viborg
g_1_6sZOfLsB;U. Catolica;Olmedo
g_1_OIJTn5wc;Pyramids;Wadi Degla
g_1_ARXKdR4H;West Brom;Aston Villa
g_1_x4rUNxQp;Germany U17 W;Portugal U17 W
g_1_0ri2SIHT;Spain U17 W;Netherlands U17 W
g_1_hShE7ZDr;Torpedo Kutaisi;Saburtalo Tbilisi
g_1_fiDwEyyF;WIT Georgia;Bolnisi
g_1_W2aoW0I4;Stuttgart U19;Wolfsburg U19
g_1_nZs43UkE;Al Karmal;Umm Al Qotain
g_1_8IwLXeLC;Bandari;Chemelil
g_1_n56ige6n;Johor DT;Pahang
g_1_IV1mfyit;Kuala Lumpur;PKNS FC
g_1_4OoXioAC;Perak;PKNP
g_1_GMFLbHrP;Terengganu;Petaling Jaya CFC
g_1_KU07eHtG;Monterrey W;U.A.N.L.- Tigres W
g_1_Yi1czsL4;Berkane;Wydad
g_1_QRckx3jh;FAR Rabat;Rapide Oued Zem
g_1_WS4tvPLu;Hassania Agadir;Moghreb Tetouan
g_1_KjhZVRTI;Hoceima;Difaa El Jadidi
g_1_f7k6YKkH;Kawkab Marrakech;Youssoufia Berrechid
g_1_4IdgyN5b;Olympique Khouribga;FUS Rabat
g_1_ImHk5plM;Waalwijk;Nijmegen
g_1_OQHo6QYF;Almere City;Cambuur
g_1_vBJOlvHG;Dep. Capiata;San Lorenzo
g_1_MZ8TmbWM;Diaz;Nacional Asuncion
g_1_EubLRYhB;Gornik Z.;Plock
g_1_hQ9CTfOb;Legnica;Slask Wroclaw
g_1_zkaHSEw5;Zaglebie Sosnowiec;Korona Kielce
g_1_pdYPfISg;Arka Gdynia U18;Pogon Szczecin U18
g_1_4WyVJki7;Calarasi;FC Botosani
g_1_rNzZI96D;Gaz Metan Medias;Poli Iasi
g_1_OMVjpxag;Pandurii;Chindia Targoviste
g_1_hYyDFkia;Chertanovo M. W;CSKA Moscow W
g_1_bBx9GVyg;FC Zvezda Perm W;Ryazan W
g_1_l0VLDTLB;Lokomotiv Moscow W;Torpedo Izhevsk W
g_1_zBYMoQp9;Inverness;Dundee Utd
g_1_0fwWKFh6;Annan;Clyde
g_1_t0POlIur;ND Gorica;Rudar
g_1_8dt3Bb1Q;Hammarby;Ostersunds
g_1_p8C64EPF;Halmstad;GAIS
g_1_INPP3wrN;Club Africain;Esperance Tunis
g_1_UmE97Lrb;Etoile Sahel;Gabes
g_1_MeWG5aDA;Hammam-Lif;Ben Guerdane
g_1_8YP09sEo;JS Kairouan;Sfaxien
g_1_nPO481Ti;Monastir;Bizertin
g_1_SYWC6ub4;Stade Gabesien;US Tataouine
g_1_0nVK4JSG;Stade Tunisien;Metlaoui
g_1_d6jn0F7b;Houston FC;Albion Hurricanes
g_1_WKQj5cWo;Belgium U18;Germany U18
g_1_QsQf4Hoh;Hungary U18;Switzerland U18
