1;12.05;Eintracht Frankfurt;0.81;-1.69;FSV Mainz 05;-1.38;0.34;0.2;10;2;2;35 %;33 %;32 %
2;12.05;FC Liverpool;2.39;1.74;Wolverhampton Wanderers;-0.22;-0.43;4.8;1;3;1;72 %;17 %;11 %
3;12.05;Fulham FC;-0.56;0;Newcastle United;-0.5;0.24;-0.3;02;1;1;32 %;33 %;35 %
4;12.05;Leicester City;0.22;1.09;Chelsea London;-0.17;0.96;0.5;10;1;1;37 %;32 %;31 %
5;12.05;Manchester United;0.56;-1;Cardiff City;-1.11;-1.14;1.8;1;2;1;48 %;28 %;25 %
6;12.05;Brighton Hove Albion;-0.33;-0.6;Manchester City;1.33;1.11;-3.4;2;0;2;17 %;22 %;61 %
7;12.05;Southampton FC;-0.17;-1.19;Huddersfield Town;-1.83;-1.65;2.1;1;2;1;50 %;27 %;23 %
8;12.05;Crystal Palace;-0.33;0.47;AFC Bournemouth;-0.94;0.19;0.9;10;2;2;40 %;31 %;29 %
9;12.05;Burnley FC;-0.33;0.34;Arsenal London;-0.33;-0.9;1.2;10;2;1;43 %;30 %;27 %
10;12.05;FC Watford;0.06;-0.85;West Ham United;-0.61;0.85;-1.0;02;1;2;28 %;31 %;41 %
11;12.05;Tottenham Hotspur;1;0.06;Everton Liverpool;-0.06;0.86;0.3;10;1;1;35 %;33 %;32 %
12;12.05;Villarreal CF;0.06;0.09;SD Eibar;-0.72;-0.04;0.9;10;2;2;40 %;31 %;29 %
13;12.05;Rayo Vallecano Madrid;-0.33;-1.45;Real Valladolid CF;-0.56;0.23;-1.5;02;1;2;26 %;29 %;45 %
14;12.05;Girona FC;-0.56;-0.71;Levante UD;-0.44;1.1;-1.9;2;1;2;24 %;27 %;49 %
15;12.05;Real Betis Sevilla;-0.11;-1.12;SD Huesca;-0.83;-0.8;0.4;10;1;1;36 %;33 %;31 %
16;12.05;Athletic Club Bilbao;0.28;-0.6;RC Celta Vigo;-0.72;1.12;-0.7;02;1;1;30 %;32 %;39 %
17;12.05;CD Leganes;0.28;0.54;Espanyol Barcelona;-0.56;0.83;0.6;10;1;1;38 %;32 %;30 %
18;12.05;Real Sociedad;0.06;0.23;Real Madrid CF;0.11;0.44;-0.3;02;1;1;32 %;33 %;35 %
19;12.05;Valencia CF;0.56;0.83;Deportivo Alaves;-0.5;-0.6;2.5;1;2;1;53 %;25 %;21 %
20;12.05;FC Barcelona;1.78;0.22;Getafe CF;0;0.68;1.3;10;2;1;44 %;29 %;27 %
21;12.05;Atletico de Madrid;1.22;-0.14;Sevilla FC;-0.22;-0.82;2.1;1;2;1;50 %;27 %;23 %
22;12.05;Lille Olympique SC;1.47;2.06;Girondins de Bordeaux;-0.65;-0.78;5.0;1;2;0;74 %;17 %;10 %
23;12.05;Stade Rennais FC;0.41;-0.55;En Avant Guingamp;-1.65;-1.34;2.9;1;2;1;57 %;24 %;19 %
24;12.05;Olympique de Marseille;0.94;-0.12;Olympique Lyonnais;0;0.31;0.5;10;2;2;37 %;32 %;31 %
25;12.05;AS Roma;0.82;0.73;Juventus Torino;1.06;0.48;0.0;02;2;2;33 %;34 %;33 %
26;12.05;Frosinone Calcio;-1.29;-0.48;Udinese Calcio;-1;-0.19;-0.6;02;1;1;30 %;32 %;38 %
27;12.05;FC Torino;0.59;0.94;Sassuolo Calcio;-0.24;0.21;1.6;1;2;1;46 %;28 %;26 %
28;12.05;SPAL Ferrara;-0.24;1.21;SSC Napoli;0.76;0.04;0.2;10;1;1;35 %;33 %;32 %
29;12.05;UC Sampdoria Genoa;0.65;-0.87;Empoli FC;-1.35;-0.54;1.7;1;2;1;47 %;28 %;25 %
30;12.05;Red Bull Salzburg;1.86;0.8;LASK Linz;0.93;0.84;0.9;10;2;2;40 %;31 %;29 %
31;12.05;Wolfsberger AC;0;0.02;SKN Sankt Polten;-0.29;-0.46;0.8;10;1;1;40 %;31 %;29 %
32;12.05;SK Sturm Graz;0;0.45;FK Austria Wien;-0.64;0.28;0.8;10;1;1;40 %;31 %;29 %
33;12.05;Royal Antwerp FC;0.22;-0.1;RSC Anderlecht Brussel;-0.24;0.07;0.3;10;1;1;35 %;33 %;32 %
34;12.05;Club Brugge KV;1.67;0.85;KRC Genk;1.11;2.34;-0.9;02;1;1;29 %;31 %;40 %
35;12.05;Levski Sofia;1;0.79;Cherno More Varna;-0.38;0.31;1.9;1;2;1;49 %;27 %;24 %
36;12.05;FC Luzern;-0.63;0;Grasshoppers Zurich;-0.71;-0.54;0.6;10;2;2;38 %;32 %;30 %
37;12.05;BSC Young Boys Bern;1.93;1.35;FC Basel 1893;0.75;1.76;0.8;10;2;2;40 %;31 %;29 %
38;12.05;FC St. Gallen;-0.31;-0.59;FC Sion;-0.19;-1.25;0.5;10;2;2;37 %;32 %;31 %
39;12.05;SK Slavia Praha;1.93;0.58;FC Viktoria Plzen;-0.2;1.13;1.6;1;2;1;46 %;28 %;26 %
40;12.05;FC Midtjylland;1.75;-0.26;FC Kobenhavn;1.31;2.35;-2.2;2;1;2;23 %;26 %;51 %
41;12.05;BV Vitesse Arnhem;0.94;1.26;De Graafschap;-1.81;-0.55;4.6;1;3;1;71 %;18 %;12 %
42;12.05;AZ Alkmaar;1.19;0.03;PSV Eidhoven;1.38;1.46;-1.6;2;1;2;26 %;28 %;46 %
43;12.05;SC Heerenveen;-0.56;-1.03;NAC Breda;-2;-1.56;2.0;1;2;1;49 %;27 %;24 %
44;12.05;Willem II Tilburg;-0.38;-0.47;FC Emmen;-1.5;0.05;0.6;10;2;2;38 %;32 %;30 %
45;12.05;Ajax Amsterdam;3.38;2.09;FC Utrecht;-0.13;-1.2;6.8;1;4;1;82 %;13 %;5 %
46;12.05;Feyenoord Rotterdam;1.81;1.95;ADO Den Haag;-0.5;1.52;2.7;1;2;1;55 %;25 %;20 %
47;12.05;Heracles Almelo;0.69;0.25;Excelsior Rotterdam;-1.56;-1.23;3.7;1;3;1;63 %;21 %;16 %
48;12.05;FC Zwolle;0.13;-0.43;VVV Venlo;-1.13;-0.62;1.5;10;2;1;45 %;29 %;26 %
49;12.05;FC Groningen;0.44;-0.34;Fortuna Sittard;-1.94;-1.33;3.4;1;3;1;61 %;22 %;17 %
50;12.05;Molde FK;3;1.41;Mjondalen IF;-0.33;-0.49;5.2;1;3;0;75 %;16 %;9 %
51;12.05;Tromso IL;-1.5;-0.67;Odd Grenland BK;-0.5;0.7;-2.4;2;0;1;22 %;26 %;53 %
52;12.05;Stabaek IF;1.33;-0.5;SK Brann Bergen;-0.33;-0.53;1.7;1;2;1;47 %;28 %;25 %
53;12.05;Ranheim Fotball;0;0.57;Valerenga IF Oslo;-1.25;0.5;1.3;10;2;1;44 %;29 %;27 %
54;12.05;FK Haugesund;0.67;-0.06;FK Bodo/Glimt;-0.5;0.74;0.4;10;2;2;36 %;33 %;31 %
55;12.05;Sparta Sarpsborg;0.33;0.06;Kristiansund BK;-1;-0.13;1.5;10;2;1;45 %;29 %;26 %
56;12.05;Piast Gliwice;1.35;1.88;Jagiellonia Bialystok;0.35;0.53;2.4;1;2;1;53 %;26 %;22 %
57;12.05;Lechia Gdansk;0.88;-0.91;Zaglebie Lubin SSA;0.24;0.78;-1.1;02;1;2;28 %;30 %;42 %
58;12.05;Legia Warszawa;0.71;0.52;Pogon Szczecin;-0.47;-0.76;2.5;1;2;1;53 %;25 %;21 %
59;12.05;Vitoria de Guimaraes;0.69;-1.01;CF OS Belenenses;-0.25;-2.96;2.9;1;2;1;57 %;24 %;19 %
60;12.05;Rio Ave FC;-0.06;0.74;SL Benfica Lisboa;1.56;3.14;-4.0;2;1;3;14 %;20 %;66 %
61;12.05;CD Nacional Funchal;-0.38;-0.76;FC Porto;1.13;1.84;-4.1;2;0;2;14 %;20 %;66 %
62;12.05;GD Chaves;-0.13;-0.12;Vitoria FC Setubal;-0.44;-1.25;1.4;10;2;1;44 %;29 %;26 %
63;12.05;CFR 1907 Cluj;0.82;1.97;Universitatea Craiova;0.47;-0.06;2.4;1;2;1;53 %;26 %;22 %
64;12.05;Zenit Sankt Petersburg;1.62;1.22;CSKA Moskva;0.5;-0.15;2.5;1;2;1;53 %;25 %;21 %
65;12.05;Spartak Moskva;0.14;-0.19;FC Ufa;-0.46;0.22;0.2;10;1;1;35 %;33 %;32 %
66;12.05;Djurgardens IF FF;0.33;0.58;AIK Stockholm;-1.33;-0.08;2.3;1;2;1;52 %;26 %;22 %
67;12.05;NK Triglav Kranj;-0.87;-1.11;MIK CM Celje;-0.27;-0.75;-1.0;02;1;1;28 %;31 %;41 %
